WAFER_ID,f_duration,f_USAGE_OF_BACKING_FILM,f_USAGE_OF_DRESSER,f_USAGE_OF_POLISHING_TABLE,f_USAGE_OF_DRESSER_TABLE,f_USAGE_OF_MEMBRANE,f_USAGE_OF_PRESSURIZED_SHEET,f_mean_PRESSURIZED_CHAMBER_PRESSURE,f_mean_MAIN_OUTER_AIR_BAG_PRESSURE,f_mean_CENTER_AIR_BAG_PRESSURE,f_mean_RETAINER_RING_PRESSURE,f_mean_RIPPLE_AIR_BAG_PRESSURE,f_mean_EDGE_AIR_BAG_PRESSURE,f_mean_DRESSING_WATER_STATUS,f_mean_SLURRY_FLOW_LINE_A,f_mean_SLURRY_FLOW_LINE_B,f_mean_SLURRY_FLOW_LINE_C,f_mean_WAFER_ROTATION,f_mean_STAGE_ROTATION,f_mean_HEAD_ROTATION,f_median_PRESSURIZED_CHAMBER_PRESSURE,f_median_MAIN_OUTER_AIR_BAG_PRESSURE,f_median_CENTER_AIR_BAG_PRESSURE,f_median_RETAINER_RING_PRESSURE,f_median_RIPPLE_AIR_BAG_PRESSURE,f_median_EDGE_AIR_BAG_PRESSURE,f_median_SLURRY_FLOW_LINE_A,f_median_SLURRY_FLOW_LINE_B,f_median_SLURRY_FLOW_LINE_C,f_median_WAFER_ROTATION,f_median_STAGE_ROTATION,f_median_HEAD_ROTATION,f_std_PRESSURIZED_CHAMBER_PRESSURE,f_std_MAIN_OUTER_AIR_BAG_PRESSURE,f_std_CENTER_AIR_BAG_PRESSURE,f_std_RETAINER_RING_PRESSURE,f_std_RIPPLE_AIR_BAG_PRESSURE,f_std_EDGE_AIR_BAG_PRESSURE,f_std_DRESSING_WATER_STATUS,f_std_SLURRY_FLOW_LINE_A,f_std_SLURRY_FLOW_LINE_B,f_std_SLURRY_FLOW_LINE_C,f_std_WAFER_ROTATION,f_std_STAGE_ROTATION,f_std_HEAD_ROTATION,f_auc_PRESSURIZED_CHAMBER_PRESSURE,f_auc_MAIN_OUTER_AIR_BAG_PRESSURE,f_auc_CENTER_AIR_BAG_PRESSURE,f_auc_RETAINER_RING_PRESSURE,f_auc_RIPPLE_AIR_BAG_PRESSURE,f_auc_EDGE_AIR_BAG_PRESSURE,f_auc_SLURRY_FLOW_LINE_A,f_auc_SLURRY_FLOW_LINE_B,f_auc_SLURRY_FLOW_LINE_C,f_auc_WAFER_ROTATION,f_auc_STAGE_ROTATION,f_auc_HEAD_ROTATION,f_is_first_run,f_last_mrr,s_duration,s_mean_PRESSURIZED_CHAMBER_PRESSURE,s_mean_MAIN_OUTER_AIR_BAG_PRESSURE,s_mean_CENTER_AIR_BAG_PRESSURE,s_mean_RETAINER_RING_PRESSURE,s_mean_RIPPLE_AIR_BAG_PRESSURE,s_mean_EDGE_AIR_BAG_PRESSURE,s_mean_DRESSING_WATER_STATUS,s_mean_SLURRY_FLOW_LINE_A,s_mean_SLURRY_FLOW_LINE_B,s_mean_SLURRY_FLOW_LINE_C,s_mean_WAFER_ROTATION,s_mean_STAGE_ROTATION,s_mean_HEAD_ROTATION,s_median_PRESSURIZED_CHAMBER_PRESSURE,s_median_MAIN_OUTER_AIR_BAG_PRESSURE,s_median_CENTER_AIR_BAG_PRESSURE,s_median_RETAINER_RING_PRESSURE,s_median_RIPPLE_AIR_BAG_PRESSURE,s_median_EDGE_AIR_BAG_PRESSURE,s_median_SLURRY_FLOW_LINE_A,s_median_SLURRY_FLOW_LINE_B,s_median_SLURRY_FLOW_LINE_C,s_median_WAFER_ROTATION,s_median_STAGE_ROTATION,s_median_HEAD_ROTATION,s_std_PRESSURIZED_CHAMBER_PRESSURE,s_std_MAIN_OUTER_AIR_BAG_PRESSURE,s_std_CENTER_AIR_BAG_PRESSURE,s_std_RETAINER_RING_PRESSURE,s_std_RIPPLE_AIR_BAG_PRESSURE,s_std_EDGE_AIR_BAG_PRESSURE,s_std_DRESSING_WATER_STATUS,s_std_SLURRY_FLOW_LINE_A,s_std_SLURRY_FLOW_LINE_B,s_std_SLURRY_FLOW_LINE_C,s_std_WAFER_ROTATION,s_std_STAGE_ROTATION,s_std_HEAD_ROTATION,s_auc_PRESSURIZED_CHAMBER_PRESSURE,s_auc_MAIN_OUTER_AIR_BAG_PRESSURE,s_auc_CENTER_AIR_BAG_PRESSURE,s_auc_RETAINER_RING_PRESSURE,s_auc_RIPPLE_AIR_BAG_PRESSURE,s_auc_EDGE_AIR_BAG_PRESSURE,s_auc_SLURRY_FLOW_LINE_A,s_auc_SLURRY_FLOW_LINE_B,s_auc_SLURRY_FLOW_LINE_C,s_auc_WAFER_ROTATION,s_auc_STAGE_ROTATION,s_auc_HEAD_ROTATION,knn_0,knn_1,knn_2,knn_3,knn_4,knn_5,knn_6,knn_7,knn_8,knn_9,knn_10,len,wt_max,mode_knn_0,mode_knn_1,mode_knn_2,AVG_REMOVAL_RATE
-4113511818,124.0,9253.33333333,531.851851852,249.62962963,2664.75,109.723320158,2776.0,76.49001536101287,269.7193548387096,69.0625,1480.049999999999,9.511363636362494,48.49462365586764,1.0,2.222222222220005,0.9090909090910022,442.6709677419363,19.02475618904033,46.87606112050823,160.59354838709658,76.6666666667,270.0,69.0625,1446.9,9.5,48.4848484848,2.22222222222,0.909090909091,448.0,34.6511627907,0.0,156.8,32.697246741571924,117.65718247872717,30.079639843887904,1729.3702609418513,4.1797729977900575,22.049891939594108,0.0,6.197134589840996,4.452149130752124e-16,190.3727603112722,16.387226196060816,91.39670124386046,6.751579828452909,12280.95309421244,37985.30520122052,9713.463750332594,311563.9838982761,1369.2779091216405,7161.100606190847,873.6576388855196,178.78727273509344,62451.60460079908,2493.6839534646037,10137.71157903689,31454.28800144196,1,72.9580118360852,159.33399999141693,76.18143459918348,239.00506329113907,61.13132911392405,1442.1113924050612,8.601841196777336,45.33179900267036,1.0,5.234704641347412,0.9033371691600458,368.27088607594993,15.838975566669554,61.96868754158982,160.18227848101242,76.6666666667,270.0,69.0625,1446.9,9.5,48.4848484848,2.22222222222,0.909090909091,445.2,0.0,0.0,160.0,76.18143459918348,239.00506329113907,61.13132911392405,1442.1113924050612,8.601841196777336,45.33179900267036,1.0,5.234704641347412,0.9033371691600458,368.27088607594993,15.838975566669554,61.96868754158982,160.18227848101242,12215.790475213886,38252.6988013029,9783.9840628393,229152.92395012375,1376.6638409453813,7251.904242614287,820.4255554406831,143.78818181429483,58870.30800204277,2503.4513953247733,9814.102630137051,25527.567998695373,61.04565,61.6548,58.27905,55.66965,59.1954,55.08765,57.86655,57.8484,59.8572,66.6846,67.17675,356,18.0,75.86415,71.907,69.83865,65.0223
-4113511780,119.66600000858308,9260.0,532.2222222219999,255.555555556,2665.0,109.802371542,2778.0,76.39682539685329,269.7499999999999,69.11458333333333,1446.639999999998,9.5098484848475,48.61111111109157,1.0,2.222222222220005,0.909090909091002,445.1766666666672,19.11627906976001,40.663377192972696,160.6399999999998,76.19047619050001,270.0,69.0625,1446.9,9.5,48.4848484848,2.22222222222,0.909090909091,448.0,34.6511627907,0.0,160.0,31.664533074554505,115.43877204410938,29.545226646043265,1519.9506264940285,4.1171887081931215,21.6672031975179,0.0,7.229132716721557,0.0649350649350716,189.9611512240305,16.42663468651294,90.61739173457605,6.194416553772732,12549.585237309211,38251.298401308064,9783.6715628393,298251.01214405,1394.3279772441022,7251.904242614288,1094.9590277086604,176.21181818573723,62739.474001622206,2503.4513953247733,9814.102630137051,31156.795200061795,0,65.0223,158.0,113.23930846204284,381.5464968152866,86.50875796178345,2160.624840764332,13.55298204978852,56.22659718203885,1.0,4.6381811748033215,0.9090909090910017,340.7974522292998,16.052436676041335,62.45474354669918,160.4076433121017,146.19047619,498.0,109.6875,1930.5,17.2727272727,70.0,2.22222222222,0.909090909091,445.2,0.0,0.0,160.0,113.23930846204284,381.5464968152866,86.50875796178345,2160.624840764332,13.55298204978852,56.22659718203885,1.0,4.6381811748033215,0.9090909090910017,340.7974522292998,16.052436676041335,62.45474354669918,160.4076433121017,18107.82809455925,61109.755795419216,13841.743592759594,341920.22868246137,2167.997090750126,8996.120908318924,721.6028471495072,143.636363636378,54262.26119835376,2515.8139534873394,9860.702498568222,25331.716800212856,65.0223,61.6548,58.27905,55.66965,59.1954,55.08765,57.86655,57.8484,59.8572,66.6846,67.17675,353,16.0,75.86415,71.907,69.83865,61.04565
-4224160600,111.0,9320.0,534.814814815,308.88888888900004,2666.75,110.513833992,2796.0,76.42642642645485,269.5567567567566,69.07376126126127,1449.886486486486,9.51064701064594,48.66502866502154,0.0,2.2222222222200045,0.9090909090910018,439.82702702702727,13.052587471190098,80.15884305349775,161.4702702702701,76.19047619050001,270.0,69.0625,1450.8,9.5,48.7878787879,2.22222222222,0.909090909091,442.4,0.0,0.0,160.0,31.035474738382,112.16396517509048,28.69703904836777,1522.1269450175978,4.002343764715554,21.165061222459585,0.3968763822881445,7.021503282175199,0.0677596356818186,192.5007080174326,14.399148756605472,93.01005001458472,7.197842286520769,11809.41261844032,35818.96260048151,9168.997812662274,275878.7909511834,1291.119295479148,6804.086060667857,954.3048611198328,161.6663636402812,56226.30300039053,1488.4209301026924,9898.2671702007,28670.928000068663,1,61.04565,161.0,72.52883762203528,221.43354037267056,56.673136645962735,1704.0577639751536,7.979954827780741,42.168266516091215,1.0,5.396825396824417,0.903444381705343,342.64347826086964,12.368915210167025,70.18715266420155,162.90186335403706,76.19047619050001,268.8,69.0625,1443.0,9.5,48.7878787879,2.22222222222,0.909090909091,439.6,0.0,0.0,160.0,72.52883762203528,221.43354037267056,56.673136645962735,1704.0577639751536,7.979954827780741,42.168266516091215,1.0,5.396825396824417,0.903444381705343,342.64347826086964,12.368915210167025,70.18715266420155,162.90186335403706,11765.390951439578,35957.29139882326,9204.083749726416,274938.0270202518,1295.9201135919636,6848.708181543599,852.4883334833937,145.45454545456,55263.41240241528,2439.9712789399664,10343.910789086936,25766.392000103,61.04565,65.0223,58.27905,55.66965,59.1954,55.08765,57.86655,57.8484,59.8572,53.64735,66.6846,341,16.33399999141693,69.83865,71.907,75.86415,61.6548
-4113511814,120.66699999570848,9430.83333333,541.851851852,65.9259259259,2671.5,111.828063241,2829.25,76.4541519087264,269.58347107438,69.0676652892562,1447.9958677685945,9.505634861006197,48.67518156773876,0.0,2.222222222220005,0.909090909091002,444.4826446280996,18.971747068989263,50.5067420617281,161.3487603305784,76.6666666667,270.0,69.0625,1446.9,9.5,48.7878787879,2.22222222222,0.909090909091,448.0,34.6511627907,0.0,160.0,32.01043679400675,115.18794353154055,29.47149845225532,1575.953272500264,4.088388655500619,21.628952412702112,0.4098465051966083,7.006978191135635,0.0646062776835247,190.5475878821497,16.340497516420324,91.15404812431775,6.949076348930549,12534.385952117776,38674.77540031672,9897.494062576445,302552.36310691235,1392.9014318192212,7334.190757590643,1078.4261111081878,177.87909090520736,63189.397600889206,2487.328488333553,10114.43111867694,31512.583999347684,1,61.6548,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064102564102564,0.4139957264961538,0.0174825174825192,8.471794871794872,15.895945140121992,62.79183535756569,159.8769230769228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0064102564102564,0.4139957264961538,0.0174825174825192,8.471794871794872,15.895945140121992,62.79183535756569,159.8769230769228,0.0,0.0,0.0,0.0,0.0,0.0,56.24687504028313,2.4240909110418487,1143.7398007750512,2484.9174419238902,9802.58065797649,25101.86560001373,55.66965,59.1954,55.08765,57.86655,57.8484,61.04565,65.0223,61.6548,59.8572,53.64735,56.95725,354,16.0,65.91045,75.86415,71.907,58.27905
-873170248,120.0,9526.66666667,547.7777777780001,79.25925925930001,2675.5,112.964426877,2858.0,76.4801587301883,269.7399999999999,69.07552083333333,1451.6124999999986,9.5037878787875,48.67676767676325,1.0,2.222222222220005,0.909090909091002,440.5099999999996,17.951550387590846,50.11842105259534,160.93333333333314,76.6666666667,270.0,69.0625,1450.8,9.5,48.7878787879,2.22222222222,0.909090909091,442.4,34.6511627907,0.0,160.0,31.609200449900104,114.61280255074966,29.286641971732447,1589.376497282932,4.066234375873009,21.55139729035445,0.0,7.121721066141218,0.0646062776835247,187.6267140031488,16.275826907258025,90.53591258695748,6.342892420966909,12551.889525032591,38890.609199881554,9948.96312493831,310549.58800316154,1399.2961363548688,7362.377575707567,1092.2225694397584,178.18181818183604,63335.58699930906,2458.4408140658293,10016.156843294808,31528.006399917605,1,58.27905,160.0,74.51778179629422,231.2886075949364,59.2365506329114,1589.2499999999995,8.339182968929682,43.90295358649041,1.0,5.507208157522668,0.9090909090910014,356.78734177215154,15.859581984094246,64.45286475678944,160.5873417721517,76.6666666667,268.8,69.0625,1450.8,9.5,48.7878787879,2.22222222222,0.909090909091,439.6,0.0,0.0,156.8,74.51778179629422,231.2886075949364,59.2365506329114,1589.2499999999995,8.339182968929682,43.90295358649041,1.0,5.507208157522668,0.9090909090910014,356.78734177215154,15.859581984094246,64.45286475678944,160.5873417721517,11951.219523440554,37103.2421994567,9501.988124884663,255706.46210391817,1337.9191363318116,7040.622121003803,866.6915971990131,145.45454545456002,56996.80699990988,2504.389999867774,10216.96065777364,25659.723200130466,59.1954,55.08765,58.27905,57.86655,57.8484,59.8572,53.64735,61.6548,61.04565,65.0223,62.62545,356,16.66600000858307,65.91045,64.45425,61.18935,55.66965
-4113511796,126.0,9580.0,550.37037037,126.666666667,2677.25,113.596837945,2874.0,76.50285714288638,269.4911999999998,69.065,1485.6192000000003,9.504363636363198,48.69333333333192,1.0,2.222222222220005,0.9090909090910022,440.1599999999992,18.619534883715207,49.85789473681884,160.94719999999978,76.6666666667,270.0,69.0625,1450.8,9.5,48.7878787879,2.22222222222,0.909090909091,445.2,34.6511627907,0.0,160.0,31.842338956452384,116.47455481651208,29.804604812790004,1533.3521931964133,4.12426058113314,21.901520986657285,0.0,6.206837595392886,4.452149130752124e-16,189.4317717390168,16.528588122905614,90.0281994786855,6.5689238384865165,12428.654523767103,38194.82879962921,9774.327812436968,297504.6847707957,1379.7135908901528,7244.453939271685,875.1199999443832,179.09090909092703,62286.8246013999,2576.600930080024,9751.225920790286,31477.342399883262,1,55.66965,159.66600000858307,74.69901168017162,235.28301886792417,60.231918238993714,1483.0056603773587,8.467695826186409,44.739851343633255,1.0,5.469951083157556,0.9033733562036368,367.9622641509429,16.011408512499937,62.69447202907626,160.04025157232684,76.6666666667,268.8,69.0625,1450.8,9.5,48.7878787879,2.22222222222,0.909090909091,439.6,0.0,0.0,156.8,74.69901168017162,235.28301886792417,60.231918238993714,1483.0056603773587,8.467695826186409,44.739851343633255,1.0,5.469951083157556,0.9033733562036368,367.9622641509429,16.011408512499937,62.69447202907626,160.04025157232684,12003.539048040446,37865.23080217838,9694.281563032418,233137.9401522696,1362.1071364473266,7190.667273240835,859.249583457751,144.2418181896354,59205.84600198269,2542.9486046133534,9958.971973077088,25552.42560138702,55.08765,57.86655,57.8484,55.66965,59.8572,58.27905,53.64735,56.95725,56.09865,54.59835,62.62545,357,15.333999991416931,65.91045,64.45425,61.18935,59.1954
-873170272,118.0,9586.66666667,550.740740741,132.592592593,2677.5,113.675889328,2876.0,76.46489104119148,269.34915254237256,69.0625,1452.4194915254243,9.503081664098302,48.73908577299399,1.0,2.222222222220005,0.909090909091002,441.33220338983017,19.41466298777204,41.08385370203501,160.56949152542356,76.6666666667,268.8,69.0625,1450.8,9.5,48.7878787879,2.22222222222,0.909090909091,445.2,34.6511627907,0.0,156.8,32.146038628342794,115.42002415616338,29.546920886704044,1574.3696078833595,4.112444192607833,21.728123306894283,0.0,7.0660153553502445,0.0651013521854093,189.4581656510299,16.466497001586955,90.74034717851492,6.543338026957273,12339.651428976998,37865.23080217838,9694.281563032418,293836.6392554998,1362.1071364473266,7191.273333847035,1075.9888195285398,175.454545454563,61870.046001982686,2542.948604613354,9958.971973077088,30986.66400003433,0,59.1954,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2795815295818181,0.0118063754427402,5.4,16.10389610389046,63.3860218728092,160.60259740259715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2795815295818181,0.0118063754427402,5.4,16.10389610389046,63.3860218728092,160.60259740259715,0.0,0.0,0.0,0.0,0.0,0.0,38.7180553708108,1.667272719470104,738.07719643116,2486.52453471668,9859.6713166243,25057.07839984894,59.1954,57.86655,57.8484,55.66965,59.8572,58.27905,53.64735,56.95725,56.09865,54.59835,62.62545,349,15.666000008583069,65.91045,64.45425,61.18935,55.08765
-4224160694,117.0,9602.5,551.481481481,146.66666666700002,2678.0,113.863636364,2880.75,76.41432641435463,269.70256410256394,69.0625,1445.3333333333337,9.501165501165383,48.66096866096061,0.0,2.222222222220005,0.909090909091002,444.02735042735065,19.30828861060685,38.48740440842948,161.3128205128204,76.19047619050001,270.0,69.0625,1446.9,9.5,48.7878787879,2.22222222222,0.909090909091,448.0,34.6511627907,0.0,160.0,32.12298174241686,115.62357631107804,29.57273861696949,1502.441066521245,4.105129047066504,21.752691669246936,0.4136984083326829,7.146115244656393,2.226220951198799e-16,190.33651346822575,16.45149416989608,92.06824555371708,7.255171462713177,12229.877619606246,37415.396400046346,9556.359531180931,288928.7523849517,1352.7103636590136,7101.167727193383,1086.6388195046463,174.2418181896384,61137.89080140591,2489.80023263405,9981.262762417218,30674.566401290896,0,55.08765,161.0,73.64285714288803,227.86499999999967,58.359375,1626.7875,8.202840909090934,43.14962121212179,0.06875,5.379340277775445,0.9034090909091826,356.9650000000007,15.575581395344324,63.81167763150779,160.5399999999998,76.6666666667,270.0,69.0625,1443.0,9.5,48.7878787879,2.22222222222,0.909090909091,445.2,0.0,0.0,160.0,73.64285714288803,227.86499999999967,58.359375,1626.7875,8.202840909090934,43.14962121212179,0.06875,5.379340277775445,0.9034090909091826,356.9650000000007,15.575581395344324,63.81167763150779,160.5399999999998,11912.356905076504,37015.23779951334,9482.72249981761,259451.6437552303,1332.5551817904848,7004.401060514505,848.1413889755453,145.30272727664322,57721.82220228911,2491.976744185322,10257.639340017768,25853.340799903868,55.08765,57.8484,59.1954,55.66965,59.8572,58.27905,53.64735,56.95725,56.09865,54.59835,55.60095,353,17.33399999141693,65.91045,64.45425,61.18935,57.86655
-4224160690,119.0,9622.5,552.2222222219999,164.444444444,2678.5,114.100790514,2886.75,76.45058023212181,269.5865546218485,69.08613445378151,1450.5050420168056,9.50381970970168,48.70384517443521,0.0,2.222222222220005,0.909090909091002,446.9176470588242,18.706273206947905,45.11831048205464,161.15630252100829,76.6666666667,270.0,69.0625,1450.8,9.5,48.7878787879,2.22222222222,0.909090909091,448.0,34.6511627907,0.0,160.0,31.532535230265523,115.05300718163984,29.425913658257617,1480.7097738922384,4.070854191642512,21.66368886465676,0.4113766756037216,7.488481381095735,0.0649350649350716,193.840835051166,16.480967355553144,90.58077379875768,6.789586633676671,12439.295952254728,38002.90200126171,9728.776875324547,287878.905594778,1368.3517955094535,7190.182121468759,1080.2520139219291,176.9690909169114,63224.84000120163,2489.060930345413,10038.1910499368,31340.16000137329,0,57.86655,158.0,64.5738550197489,278.0866242038217,82.4343152866242,1591.6719745222929,12.043427909688535,48.85736344336007,0.0955414012738853,8.070594479829685,0.9090909090910017,397.0649681528665,16.21981928602288,62.85953737842275,160.61146496815266,67.1428571429,346.8,101.875,1739.4,15.2272727273,60.6060606061,2.22222222222,0.909090909091,579.6,0.0,0.0,160.0,64.5738550197489,278.0866242038217,82.4343152866242,1591.6719745222929,12.043427909688535,48.85736344336007,0.0955414012738853,8.070594479829685,0.9090909090910017,397.0649681528665,16.21981928602288,62.85953737842275,160.61146496815266,10275.005714217594,44426.74259816408,13166.186249479651,251023.36551031173,1924.453318103081,7803.609696664371,1258.6316666999758,143.636363636378,63365.45319931507,2536.9574421076186,9821.767829330489,25373.342399883277,57.86655,55.08765,59.1954,59.8572,55.66965,53.64735,58.27905,56.95725,56.09865,54.59835,55.60095,353,16.33399999141693,64.45425,65.91045,61.18935,57.8484
-4113511792,129.3330000042915,9685.0,555.185185185,220.0,2680.5,114.841897233,2905.5,76.39350313771705,268.8930232558138,69.06007751937985,1469.6953488372096,9.503875968991858,48.5459243598472,0.0,2.222222222220005,0.9090909090910024,441.7488372093021,18.296376419682957,55.544675642548064,161.28992248062008,76.19047619050001,268.8,69.0625,1439.1,9.5,48.4848484848,2.22222222222,0.909090909091,445.2,34.6511627907,0.0,160.0,32.19848972323308,116.4184552513004,29.817893138483416,1541.1342247286054,4.142840510142797,21.88709253752597,0.3814192329666939,6.044553473602549,0.063493663251786,191.84827920608927,16.307091967030363,90.22731741496008,6.506996565556236,12709.222618843289,39157.649401938914,10069.492344250904,303849.3939284026,1417.0384319085954,7430.77606101476,872.6552778643818,183.18227272143895,64149.009399020666,2503.9226743158542,10349.781052617447,32462.44479942321,1,57.8484,157.66600000858307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1176574663834394,0.0057903879559936,2.175796178343949,16.030217745515472,64.77790814609827,160.264968152866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1176574663834394,0.0057903879559936,2.175796178343949,16.030217745515472,64.77790814609827,160.264968152866,0.0,0.0,0.0,0.0,0.0,0.0,6.151250079266777,0.3027272766286979,113.75280146598816,2521.4044184872687,10101.568749839174,25256.41760149002,57.8484,53.64735,57.86655,55.08765,59.1954,56.95725,56.09865,54.59835,55.60095,55.66965,62.62545,362,17.0,64.45425,61.18935,60.39825,59.8572
