WAFER_ID,f_duration,f_USAGE_OF_BACKING_FILM,f_USAGE_OF_DRESSER,f_USAGE_OF_POLISHING_TABLE,f_USAGE_OF_DRESSER_TABLE,f_USAGE_OF_MEMBRANE,f_USAGE_OF_PRESSURIZED_SHEET,f_mean_PRESSURIZED_CHAMBER_PRESSURE,f_mean_MAIN_OUTER_AIR_BAG_PRESSURE,f_mean_CENTER_AIR_BAG_PRESSURE,f_mean_RETAINER_RING_PRESSURE,f_mean_RIPPLE_AIR_BAG_PRESSURE,f_mean_EDGE_AIR_BAG_PRESSURE,f_mean_DRESSING_WATER_STATUS,f_mean_SLURRY_FLOW_LINE_A,f_mean_SLURRY_FLOW_LINE_B,f_mean_SLURRY_FLOW_LINE_C,f_mean_WAFER_ROTATION,f_mean_STAGE_ROTATION,f_mean_HEAD_ROTATION,f_median_PRESSURIZED_CHAMBER_PRESSURE,f_median_MAIN_OUTER_AIR_BAG_PRESSURE,f_median_CENTER_AIR_BAG_PRESSURE,f_median_RETAINER_RING_PRESSURE,f_median_RIPPLE_AIR_BAG_PRESSURE,f_median_EDGE_AIR_BAG_PRESSURE,f_median_SLURRY_FLOW_LINE_A,f_median_SLURRY_FLOW_LINE_B,f_median_SLURRY_FLOW_LINE_C,f_median_WAFER_ROTATION,f_median_STAGE_ROTATION,f_median_HEAD_ROTATION,f_std_PRESSURIZED_CHAMBER_PRESSURE,f_std_MAIN_OUTER_AIR_BAG_PRESSURE,f_std_CENTER_AIR_BAG_PRESSURE,f_std_RETAINER_RING_PRESSURE,f_std_RIPPLE_AIR_BAG_PRESSURE,f_std_EDGE_AIR_BAG_PRESSURE,f_std_DRESSING_WATER_STATUS,f_std_SLURRY_FLOW_LINE_A,f_std_SLURRY_FLOW_LINE_B,f_std_SLURRY_FLOW_LINE_C,f_std_WAFER_ROTATION,f_std_STAGE_ROTATION,f_std_HEAD_ROTATION,f_auc_PRESSURIZED_CHAMBER_PRESSURE,f_auc_MAIN_OUTER_AIR_BAG_PRESSURE,f_auc_CENTER_AIR_BAG_PRESSURE,f_auc_RETAINER_RING_PRESSURE,f_auc_RIPPLE_AIR_BAG_PRESSURE,f_auc_EDGE_AIR_BAG_PRESSURE,f_auc_SLURRY_FLOW_LINE_A,f_auc_SLURRY_FLOW_LINE_B,f_auc_SLURRY_FLOW_LINE_C,f_auc_WAFER_ROTATION,f_auc_STAGE_ROTATION,f_auc_HEAD_ROTATION,f_is_first_run,f_last_mrr,s_duration,s_mean_PRESSURIZED_CHAMBER_PRESSURE,s_mean_MAIN_OUTER_AIR_BAG_PRESSURE,s_mean_CENTER_AIR_BAG_PRESSURE,s_mean_RETAINER_RING_PRESSURE,s_mean_RIPPLE_AIR_BAG_PRESSURE,s_mean_EDGE_AIR_BAG_PRESSURE,s_mean_DRESSING_WATER_STATUS,s_mean_SLURRY_FLOW_LINE_A,s_mean_SLURRY_FLOW_LINE_B,s_mean_SLURRY_FLOW_LINE_C,s_mean_WAFER_ROTATION,s_mean_STAGE_ROTATION,s_mean_HEAD_ROTATION,s_median_PRESSURIZED_CHAMBER_PRESSURE,s_median_MAIN_OUTER_AIR_BAG_PRESSURE,s_median_CENTER_AIR_BAG_PRESSURE,s_median_RETAINER_RING_PRESSURE,s_median_RIPPLE_AIR_BAG_PRESSURE,s_median_EDGE_AIR_BAG_PRESSURE,s_median_SLURRY_FLOW_LINE_A,s_median_SLURRY_FLOW_LINE_B,s_median_SLURRY_FLOW_LINE_C,s_median_WAFER_ROTATION,s_median_STAGE_ROTATION,s_median_HEAD_ROTATION,s_std_PRESSURIZED_CHAMBER_PRESSURE,s_std_MAIN_OUTER_AIR_BAG_PRESSURE,s_std_CENTER_AIR_BAG_PRESSURE,s_std_RETAINER_RING_PRESSURE,s_std_RIPPLE_AIR_BAG_PRESSURE,s_std_EDGE_AIR_BAG_PRESSURE,s_std_DRESSING_WATER_STATUS,s_std_SLURRY_FLOW_LINE_A,s_std_SLURRY_FLOW_LINE_B,s_std_SLURRY_FLOW_LINE_C,s_std_WAFER_ROTATION,s_std_STAGE_ROTATION,s_std_HEAD_ROTATION,s_auc_PRESSURIZED_CHAMBER_PRESSURE,s_auc_MAIN_OUTER_AIR_BAG_PRESSURE,s_auc_CENTER_AIR_BAG_PRESSURE,s_auc_RETAINER_RING_PRESSURE,s_auc_RIPPLE_AIR_BAG_PRESSURE,s_auc_EDGE_AIR_BAG_PRESSURE,s_auc_SLURRY_FLOW_LINE_A,s_auc_SLURRY_FLOW_LINE_B,s_auc_SLURRY_FLOW_LINE_C,s_auc_WAFER_ROTATION,s_auc_STAGE_ROTATION,s_auc_HEAD_ROTATION,knn_0,knn_1,knn_2,knn_3,knn_4,knn_5,knn_6,knn_7,knn_8,knn_9,knn_10,len,wt_max,mode_knn_0,mode_knn_1,mode_knn_2,AVG_REMOVAL_RATE
-4224160584,123.66600000858308,9280.0,532.962962963,272.592592593,2665.5,110.039525692,2784.0,74.03981264634761,257.75409836065563,65.9375,1481.8081967213095,10.007451564840816,44.18777943367135,0.0,2.222222222220005,0.909090909091002,441.6655737704928,19.11361036979428,47.89473684207565,160.9180327868851,73.80952380949999,258.0,65.9375,1450.8,10.0,44.2424242424,2.22222222222,0.909090909091,448.0,34.6511627907,0.0,160.0,32.04782085631379,111.8032693427847,28.59475570449718,1524.3075506914183,4.323896042319725,20.458466115272945,0.376695462120391,6.315831170072032,3.339286602053383e-16,191.27346442027945,16.441639357852065,92.29650115384986,6.971875249564229,11894.480238654793,35766.42719964981,9158.96499991417,287006.86754140555,1410.0395227076438,6519.350454454123,866.7847221920208,175.454545454563,61080.889802277095,2496.286046420303,10087.248815908766,30840.003199958803,1,79.47415608666213,158.33399999141693,73.2089778586471,227.296815286624,58.15485668789809,1479.3668789808908,8.903590040537637,41.4746187994516,0.0509554140127388,5.426397735314276,0.903300521135008,365.2305732484081,15.966523477996107,64.69158565197077,160.672611464968,73.80952380949999,258.0,65.9375,1446.9,10.0,44.2424242424,2.22222222222,0.909090909091,445.2,0.0,0.0,160.0,73.2089778586471,227.296815286624,58.15485668789809,1479.3668789808908,8.903590040537637,41.4746187994516,0.0509554140127388,5.426397735314276,0.903300521135008,365.2305732484081,15.966523477996107,64.69158565197077,160.672611464968,11628.567857186808,36186.16860040426,9258.3778125979,233736.4437953621,1417.1652272920155,6593.573333493316,840.7851389132314,142.8790909052038,57999.173400342464,2503.947674492321,10126.225855000515,25434.78079853058,71.907,69.83865,65.91045,64.45425,68.8815,72.36045,69.9153,65.5995,67.5171,61.18935,71.7765,351,16.0,61.04565,65.0223,61.6548,75.86415
-4224160580,117.0,9286.66666667,533.333333333,278.518518519,2665.75,110.118577075,2786.0,73.91941391939241,257.68205128205113,65.9508547008547,1447.4999999999984,10.005050505056747,44.12846412845131,0.0,2.222222222220005,0.909090909091002,444.8649572649577,19.614390777172645,41.9624381466354,161.34017094017076,73.80952380949999,258.0,65.9375,1446.9,10.0,44.2424242424,2.22222222222,0.909090909091,448.0,34.6511627907,0.0,160.0,30.961941221995826,109.27731498660027,27.94988934910053,1528.517381701127,4.285108444996047,20.048320703979144,0.4108782043116424,7.246927786962718,0.0656079851351914,190.5112961980407,16.504905856447493,92.7031199841628,7.156354039688166,11968.011666719214,36183.56820040941,9258.6903125979,300192.2820060253,1433.8470454738156,6593.573333493316,1083.7202084187743,173.78818181429784,61359.56260133981,2503.947674492321,10126.225855000515,30808.64959850311,0,75.86415,159.0,73.69871218926725,232.95094339622617,59.624606918239,1519.699999999999,9.118639222419052,42.3594434915197,0.050314465408805,5.29699510831353,0.9033733562036368,370.4628930817621,16.324411291496855,63.86875206879243,160.1408805031444,73.80952380949999,256.8,65.9375,1446.9,10.0,43.9393939394,2.22222222222,0.909090909091,445.2,0.0,0.0,156.8,73.69871218926725,232.95094339622617,59.624606918239,1519.699999999999,9.118639222419052,42.3594434915197,0.050314465408805,5.29699510831353,0.9033733562036368,370.4628930817621,16.324411291496855,63.86875206879243,160.1408805031444,11852.98785750186,36114.72960090637,9246.39203143306,248538.03980678023,1414.2022500304474,6579.888181957469,849.6563193984475,143.78772727469237,58694.55619970561,2462.7720932618317,10114.150658938755,25462.407999897,69.83865,75.86415,65.91045,64.45425,68.8815,72.36045,69.9153,65.5995,61.18935,63.0513,60.39825,351,15.666000008583069,61.04565,65.0223,61.6548,71.907
-2697400536,118.33399999141692,9293.33333333,533.703703704,284.444444444,2666.0,110.197628458,2788.0,73.84887839430999,257.4644628099171,65.9400826446281,1447.2867768595029,10.00601051841322,44.02454295016037,0.0,2.222222222220005,0.909090909091002,445.4082644628109,19.51950797616199,41.79208351455373,160.76694214876008,73.80952380949999,258.0,65.9375,1446.9,10.0,43.9393939394,2.22222222222,0.909090909091,448.0,34.6511627907,0.0,156.8,30.007322641574973,108.19523466293538,27.6789064787561,1469.0801195868464,4.19770883809886,19.79945915089761,0.4148915615546956,7.0083876205842,0.0649350649350716,194.3474277335994,16.761274512814953,91.4548223974837,6.782953978774975,12156.790000454472,36114.72960090637,9246.39203143306,307004.76499165,1418.0821591068802,6579.888181957469,1087.0871527282409,176.51500000196836,61781.52260013818,2462.7720932618317,10114.150658938754,31162.675199890135,0,71.907,158.33399999141693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.09094948895561,63.848474689841225,160.5095541401272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.09094948895561,63.848474689841225,160.5095541401272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2527.793488334737,9973.154737719193,25419.31039857864,71.907,75.86415,65.91045,64.45425,61.18935,69.9153,68.8815,65.5995,72.36045,60.39825,63.0513,353,18.0,61.6548,61.04565,65.0223,69.83865
-875170052,129.66600000858307,9564.16666667,549.62962963,112.592592593,2676.75,113.409090909,2869.25,73.93601190474064,257.7093749999999,65.947265625,1467.9234374999987,10.003551136367186,44.17376893937662,0.0,2.222222222220005,0.9090909090910024,436.8218749999997,18.20857558138595,59.02754934205616,161.59999999999988,73.80952380949999,258.0,65.9375,1446.9,10.0,44.2424242424,2.22222222222,0.909090909091,439.6,34.6511627907,0.0,160.0,31.8826254408362,111.41846237052088,28.503937550984304,1551.7863537423025,4.306353436009695,20.36247401331285,0.3698773410567424,6.12071920555193,6.677806252357276e-16,188.0793242644529,16.24892414976074,90.42915960052638,6.624063911158849,12469.539047421702,37647.71400110722,9648.05312525481,305697.47522671224,1483.0966818418954,6850.340303198645,883.7055555312534,183.3327272805484,63583.31280026436,2496.6697674007355,10043.317500194446,32358.29120140076,1,69.83865,157.0,73.54531490013994,238.92387096774175,61.167338709677416,1435.9296774193574,9.331964809387287,42.57673509285507,0.0,4.205197132615364,0.9090909090910017,394.0593548387092,16.02400600149542,65.17232597617446,159.95870967741908,73.80952380949999,258.0,65.9375,1454.7,10.0,44.2424242424,2.22222222222,0.909090909091,439.6,0.0,0.0,156.8,73.54531490013994,238.92387096774175,61.167338709677416,1435.9296774193574,9.331964809387287,42.57673509285507,0.0,4.205197132615364,0.9090909090910017,394.0593548387092,16.02400600149542,65.17232597617446,159.95870967741908,11557.028571875948,37783.76999781131,9672.960624434054,226940.40719089503,1475.0671362800304,6719.274545039498,633.7244444752054,142.72727272728702,62194.980400252345,2488.303488256517,10037.656712170205,25119.9968000412,64.45425,61.18935,60.39825,58.8924,69.83865,71.907,75.86415,67.5714,63.42225,64.89795,64.29195,358,17.33399999141693,59.1954,55.08765,55.66965,65.91045
-2697400532,130.0,9664.16666667,554.074074074,201.481481481,2679.75,114.59486166,2899.25,73.88764880950158,257.7093749999999,65.93505859375,1480.750781249999,10.003551136367186,44.1429924242274,0.0,2.222222222220005,0.9090909090910024,440.9562500000001,18.224927325569546,59.61348684206816,160.49999999999974,73.80952380949999,258.0,65.9375,1450.8,10.0,44.2424242424,2.22222222222,0.909090909091,445.2,34.6511627907,0.0,160.0,31.4932242649236,111.4224070838296,28.355270806155183,1585.6780289339222,4.322591981057416,20.31275260551236,0.3706180859419964,6.055731888999314,0.0639634131573055,189.81030903792612,16.409319795071116,92.72779351149956,6.122983709831466,12364.116905912217,37439.77980026006,9612.130937557667,307535.94109002646,1470.438727281798,6805.140909226106,868.6074306024236,181.8181818182,63503.11519937516,2555.9047672688725,10354.098422486528,32087.470399951937,1,65.91045,157.33399999141693,37.40370033362166,171.89808917197442,34.07046178343949,1115.896815286624,5.629415170815931,26.66859679598913,0.8407643312101911,7.793701344657714,0.8338158656630851,339.6203821656053,16.576803436519437,62.38769694932525,160.12229299363028,42.8571428571,264.0,53.4375,1548.3,8.318181818180001,38.1818181818,2.22222222222,0.909090909091,476.0,13.023255814,0.0,156.8,37.40370033362166,171.89808917197442,34.07046178343949,1115.896815286624,5.629415170815931,26.66859679598913,0.8407643312101911,7.793701344657714,0.8338158656630851,339.6203821656053,16.576803436519437,62.38769694932525,160.12229299363028,5999.448570351448,27501.332400870324,5449.675156408921,178807.57243683637,898.2000909663545,4268.47681828589,1192.915347239303,131.3636363636495,53819.79119925499,2597.724999846429,9829.037762267864,25183.0303987503,61.18935,60.39825,58.8924,65.91045,67.5714,63.42225,64.89795,64.29195,63.5892,63.10665,66.486,359,16.0,59.8572,57.8484,57.86655,64.45425
-4224160600,127.33399999141692,9715.83333333,556.666666667,247.407407407,2681.5,115.207509881,2914.75,73.86576677912996,257.26299212598394,65.9375,1444.0748031496066,9.999284180386928,43.99665950847091,0.0,2.222222222220005,0.9090909090910024,442.0692913385825,18.069950558497645,57.150849564812255,161.08346456692894,73.80952380949999,256.8,65.9375,1443.0,10.0,43.9393939394,2.22222222222,0.909090909091,445.2,34.6511627907,0.0,160.0,31.00915585705228,110.03031346494411,28.192875911807345,1563.7331230866532,4.273364281405817,20.0245496177175,0.4088688861458494,6.984488445446238,6.677725228227053e-16,187.3317731690885,16.42734465770249,90.20754665982916,6.823268013258699,12661.621904314983,38442.36600043774,9856.866250112653,306653.090275231,1516.2680909688884,6971.402727420124,1116.2414584429855,184.54545454547304,65442.50160040855,2563.914883717752,10065.849078735186,32468.807999897,1,64.45425,158.33399999141693,73.20976491861259,234.32658227848069,59.94659810126582,1375.120253164557,9.163118527046262,42.261219792855925,0.0063291139240506,4.8813291139223525,0.9090909090910014,395.1544303797473,15.958198410354369,63.89573617582376,160.3645569620251,73.80952380949999,256.8,65.9375,1446.9,10.0,44.2424242424,2.22222222222,0.909090909091,445.2,0.0,0.0,160.0,73.20976491861259,234.32658227848069,59.94659810126582,1375.120253164557,9.163118527046262,42.261219792855925,0.0063291139240506,4.8813291139223525,0.9090909090910014,395.1544303797473,15.958198410354369,63.89573617582376,160.3645569620251,11688.450237609846,37448.83619953394,9580.530624873936,220021.50689476132,1463.5310454455707,6744.96606039124,736.3870830583052,143.93999999221165,62716.90319781304,2525.8227905826666,10120.620393233829,25386.235198688504,60.39825,58.8924,64.45425,65.91045,67.5714,63.42225,64.89795,64.29195,63.5892,63.10665,66.486,362,15.666000008583069,59.8572,53.64735,56.95725,61.18935
-4224160592,125.66600000858308,9722.5,556.666666667,253.333333333,2681.5,115.286561265,2916.75,73.88510959937305,257.48571428571404,65.93998015873017,1446.5595238095227,10.004329004333332,44.12938912937624,0.0,2.222222222220005,0.9090909090910022,445.3111111111117,18.22997416019604,57.918755221342536,161.09206349206335,73.80952380949999,258.0,65.9375,1446.9,10.0,44.2424242424,2.22222222222,0.909090909091,448.0,34.6511627907,0.0,160.0,30.467646242159184,108.86121927797144,27.88289870354119,1629.3069771751557,4.225964195914861,19.79949635286946,0.4039604926251947,7.11634976999347,5.564975606931872e-16,187.5906539589228,16.36149633599849,91.50385911259352,6.765108023318185,12650.401904695333,38159.559000527865,9770.82109390758,310606.2433101744,1500.7434545327822,6948.020454670597,1122.8758332626244,182.42454545066232,66233.62199885845,2525.8227905826666,10120.620393233829,32051.252799320224,0,61.18935,155.0,73.10760667901813,236.6025974025972,60.67978896103896,1422.8668831168825,9.256788665884086,42.0543093270392,0.0,4.178391053390595,0.9090909090910018,405.018181818182,16.306251887638894,64.78639781266007,160.2701298701297,73.80952380949999,256.8,65.9375,1446.9,10.0,43.9393939394,2.22222222222,0.909090909091,448.0,0.0,0.0,160.0,73.10760667901813,236.6025974025972,60.67978896103896,1422.8668831168825,9.256788665884086,42.0543093270392,0.0,4.178391053390595,0.9090909090910018,405.018181818182,16.306251887638894,64.78639781266007,160.2701298701297,11350.219285953754,36894.29759874343,9461.222812179476,221109.98522336484,1443.2090908512578,6546.081666395878,624.7238888673473,140.90909090910503,62986.38500105143,2517.1048835669258,10002.418946709824,24844.809599876404,61.18935,58.8924,64.45425,65.91045,67.5714,63.42225,64.89795,64.29195,63.5892,63.10665,66.486,355,16.666999995708466,53.64735,59.8572,56.95725,60.39825
-873170256,136.66600000858307,9746.66666667,557.7777777780001,274.814814815,2682.25,115.57312253,2924.0,74.00210084031396,256.83529411764687,65.79273897058823,1477.6698529411774,9.983622994657424,43.93270944741404,1.0,2.222222222220006,0.9090909090910024,434.3705882352938,17.376880984945597,67.16041021666324,160.72941176470576,73.80952380949999,257.4,65.9375,1443.0,10.0,43.9393939394,2.22222222222,0.909090909091,439.6,17.32558139535,0.0,160.0,31.403532003816917,110.3631701769689,28.252017121828093,1463.7796494841778,4.309167376959734,19.961934033286298,0.0,6.093890108757197,8.903007128566045e-16,184.6063269127148,16.27985682634287,89.44754267001535,6.607014230888514,12865.800953307476,39214.38000025749,10051.86937507242,305783.0528542578,1537.392795469977,7074.998787894509,899.3000000710933,189.6963636441854,66330.46560173035,2532.8858137259467,10029.01302800224,33390.812801551816,1,60.39825,159.0,74.20078859566698,232.5630573248405,61.75756369426752,1621.704458598725,8.732773595833127,44.16135881103324,0.0636942675159235,5.285739561214785,0.903300521135008,350.67770700636913,16.086505702849628,64.91451558827922,160.52993630573226,78.5714285714,270.0,72.1875,1443.0,9.95454545455,48.7878787879,2.22222222222,0.909090909091,434.0,0.0,0.0,160.0,74.20078859566698,232.5630573248405,61.75756369426752,1621.704458598725,8.732773595833127,44.16135881103324,0.0636942675159235,5.285739561214785,0.903300521135008,350.67770700636913,16.086505702849628,64.91451558827922,160.52993630573226,11862.15571513769,37082.57040038108,9847.80500009656,258300.2467835158,1391.3783636421845,7034.995909142523,827.9893749576108,143.48454545846118,55990.14680068493,2536.701046566534,10234.86894791789,25508.8015999794,60.39825,61.18935,64.45425,65.91045,64.89795,63.42225,67.5714,64.29195,63.5892,63.10665,66.486,367,17.0,53.64735,56.95725,56.09865,58.8924
-4113511814,140.0,9904.16666667,569.62962963,48.148148148100006,2690.25,117.440711462,2971.25,73.95683453235249,257.4906474820143,65.93974820143885,1479.2503597122284,10.003270111188344,44.04621757139503,1.0,2.222222222220006,0.9090909090910028,439.3179856115101,16.99180190730216,70.51022340015085,160.4374100719422,73.80952380949999,258.0,65.9375,1450.8,10.0,43.9393939394,2.22222222222,0.909090909091,442.4,0.0,0.0,156.8,30.65120026484428,108.89852035081644,27.881529422106983,1531.7869007425247,4.222258704489764,19.684924343094583,0.0,6.083248372538468,0.0625843991655988,184.92905063659515,16.165103336125803,89.24810997053311,6.926382989228436,13145.850714571405,40252.99799745083,10302.80843688175,318023.3687443882,1584.0711362287202,7267.208787401409,902.8713888752422,190.1518181779358,68146.89279966355,2494.336511685412,9823.350789238862,33547.30399866104,1,58.8924,161.0,73.4464285714149,240.47999999999985,61.515625,1415.1637499999986,9.360511363643496,42.23863636363569,1.0,3.3776041666645087,0.9034090909091826,411.5124999999993,15.803779069759935,64.996710526253,160.21999999999974,73.80952380949999,258.0,65.9375,1450.8,10.0,43.9393939394,2.22222222222,0.909090909091,445.2,0.0,0.0,156.8,73.4464285714149,240.47999999999985,61.515625,1415.1637499999986,9.360511363643496,42.23863636363569,1.0,3.3776041666645087,0.9034090909091826,411.5124999999993,15.803779069759935,64.996710526253,160.21999999999974,11864.954047186637,38773.37640287876,9919.21625070274,229095.9664472133,1508.968772837839,6792.025455127905,522.8884722868278,145.30272727664322,66520.09419964551,2523.486627928254,10332.980921909037,25794.131200027463,63.42225,64.89795,64.29195,63.5892,63.10665,66.486,66.4284,65.64675,60.39825,61.18935,58.8924,371,17.66600000858307,60.59415,59.68785,62.62545,67.5714
-875170112,136.66600000858307,9911.66666667,569.62962963,54.0740740741,2690.25,117.529644269,2973.5,73.924226624935,257.6233576642335,65.9375,1450.856934306568,10.00796284008759,44.02344614023219,1.0,2.222222222220006,0.9090909090910024,442.7270072992696,16.998811746725547,68.66308106024438,160.70072992700707,73.80952380949999,258.0,65.9375,1450.8,10.0,43.9393939394,2.22222222222,0.909090909091,445.2,0.0,0.0,160.0,30.46027022495253,107.80351922550678,27.564961569306167,1535.3237868971114,4.173424275861685,19.58460737410488,0.0,6.835531643946525,0.0621441751840661,185.61186081395505,16.134629314417246,90.40180152520612,6.3416231030579295,13455.050237447442,41170.8684016943,10528.094375394285,335502.9229303926,1620.4077272914342,7431.342576028653,1121.8731250239116,192.57545454937525,70251.40500165222,2523.486627928254,10332.980921909037,34006.928000068656,0,67.5714,160.33399999141693,73.10427968654109,239.06582278480997,61.28164556962025,1430.8803797468354,9.34637514385006,42.37245876486416,0.0,4.021624472572478,0.9090909090910014,406.425316455696,15.98322048865842,64.29130579606023,160.60759493670872,73.80952380949999,258.0,65.9375,1454.7,10.0,43.9393939394,2.22222222222,0.909090909091,445.2,0.0,0.0,160.0,73.10427968654109,239.06582278480997,61.28164556962025,1430.8803797468354,9.34637514385006,42.37245876486416,0.0,4.021624472572478,0.9090909090910014,406.425316455696,15.98322048865842,64.29130579606023,160.60759493670872,11684.502380203758,38394.35340059995,9840.664062667638,229308.0796444684,1500.0741818394831,6794.741515228272,623.7837498632905,145.7581818103936,65389.89519877434,2533.936046734927,10112.496843263656,25752.63839864731,67.5714,64.89795,64.29195,63.5892,63.10665,66.486,66.4284,65.64675,58.8924,60.39825,61.18935,372,16.66600000858307,59.68785,60.59415,62.3022,63.42225
